complex_name,protein_path,ligand_description,protein_sequence
NCc1ccc2ccc(=O)[nH]c2n1,GLP1.pdb,NCc1ccc2ccc(=O)[nH]c2n1,
NC1CCCc2ccccc21,GLP1.pdb,NC1CCCc2ccccc21,
CC1(CN)NC(=O)NC1=O,GLP1.pdb,CC1(CN)NC(=O)NC1=O,
CN1CCN(CCCCN)CC1,GLP1.pdb,CN1CCN(CCCCN)CC1,
CCC1(C)CC(N)C1,GLP1.pdb,CCC1(C)CC(N)C1,
CC1CC(C)CN(C(C)(C)CN)C1,GLP1.pdb,CC1CC(C)CN(C(C)(C)CN)C1,
NCC1CC2CCC1C2,GLP1.pdb,NCC1CC2CCC1C2,
NCc1ccccc1-c1cccnc1,GLP1.pdb,NCc1ccccc1-c1cccnc1,
COc1cc(C(F)(F)F)ccc1CN,GLP1.pdb,COc1cc(C(F)(F)F)ccc1CN,
Cc1cccc(N2CCN(CCCN)CC2)c1,GLP1.pdb,Cc1cccc(N2CCN(CCCN)CC2)c1,
NC1CCC(c2ccc(F)cc2)CC1,GLP1.pdb,NC1CCC(c2ccc(F)cc2)CC1,
NCc1ccc(-n2cncn2)cc1,GLP1.pdb,NCc1ccc(-n2cncn2)cc1,
CC(C)(CN)CC(F)F,GLP1.pdb,CC(C)(CN)CC(F)F,
CCOC[C@H](C)N,GLP1.pdb,CCOC[C@H](C)N,
NCc1ccc(Cl)c(Cl)c1,GLP1.pdb,NCc1ccc(Cl)c(Cl)c1,
CCN(CC)C(CN)c1ccccc1,GLP1.pdb,CCN(CC)C(CN)c1ccccc1,
C[C@H](N)c1cncc(F)c1,GLP1.pdb,C[C@H](N)c1cncc(F)c1,
NCc1cccc2[nH]c(=O)oc12,GLP1.pdb,NCc1cccc2[nH]c(=O)oc12,
COc1ccc(CN)cc1Cl,GLP1.pdb,COc1ccc(CN)cc1Cl,
NC1CC2(C1)CC1CCC2C1,GLP1.pdb,NC1CC2(C1)CC1CCC2C1,
CCOC(CN)c1ccccc1,GLP1.pdb,CCOC(CN)c1ccccc1,
NCc1cc2ccc(Cl)cc2[nH]1,GLP1.pdb,NCc1cc2ccc(Cl)cc2[nH]1,
CC1Cc2c(Cl)cccc2C1N,GLP1.pdb,CC1Cc2c(Cl)cccc2C1N,
NC(CC1CCC1)c1ccccc1,GLP1.pdb,NC(CC1CCC1)c1ccccc1,
NCC1(c2ccccc2Cl)CCCCC1,GLP1.pdb,NCC1(c2ccccc2Cl)CCCCC1,
CN1CCOC(C(N)c2ccc(Cl)cc2)C1,GLP1.pdb,CN1CCOC(C(N)c2ccc(Cl)cc2)C1,
CC(C)(C)C1CC(N)CCO1,GLP1.pdb,CC(C)(C)C1CC(N)CCO1,
COC(=O)COc1ccccc1CN,GLP1.pdb,COC(=O)COc1ccccc1CN,
CC(N)c1csnn1,GLP1.pdb,CC(N)c1csnn1,
CC(C)(C)OC(=O)N1CC[C@@H](N)C1,GLP1.pdb,CC(C)(C)OC(=O)N1CC[C@@H](N)C1,
CC1CN(Cc2cccc(CN)c2)CC(C)O1,GLP1.pdb,CC1CN(Cc2cccc(CN)c2)CC(C)O1,
COc1ccccc1C(N)CC(C)C,GLP1.pdb,COc1ccccc1C(N)CC(C)C,
COc1ccc(C(N)C2CCC2)cc1,GLP1.pdb,COc1ccc(C(N)C2CCC2)cc1,
CNC(=O)COc1ccc(CN)cc1,GLP1.pdb,CNC(=O)COc1ccc(CN)cc1,
CC(C)(N)CN1CCC(CO)CC1,GLP1.pdb,CC(C)(N)CN1CCC(CO)CC1,
CC(C)(C)OC(=O)NCC12CC(N)(C1)C2,GLP1.pdb,CC(C)(C)OC(=O)NCC12CC(N)(C1)C2,
NCc1ccccc1OCC1CCCCC1,GLP1.pdb,NCc1ccccc1OCC1CCCCC1,
NCc1ccc(Cl)c(F)c1,GLP1.pdb,NCc1ccc(Cl)c(F)c1,
NCC1CCN(C(=O)Cc2ccccc2)C1,GLP1.pdb,NCC1CCN(C(=O)Cc2ccccc2)C1,
NC(CCO)c1ccccc1C(F)(F)F,GLP1.pdb,NC(CCO)c1ccccc1C(F)(F)F,
NC1CC(=O)N(CC(F)(F)F)C1,GLP1.pdb,NC1CC(=O)N(CC(F)(F)F)C1,
CCC(=O)NCCN,GLP1.pdb,CCC(=O)NCCN,
CC(N)c1nc(C2CCCC2)no1,GLP1.pdb,CC(N)c1nc(C2CCCC2)no1,
NCCN1CCc2c(Cl)cccc2C1,GLP1.pdb,NCCN1CCc2c(Cl)cccc2C1,
NCC1CCCN1c1ccccc1,GLP1.pdb,NCC1CCCN1c1ccccc1,
NCC(c1ccc(Cl)cc1)N1CCCC1,GLP1.pdb,NCC(c1ccc(Cl)cc1)N1CCCC1,
COCC(N)c1ccc(F)cc1,GLP1.pdb,COCC(N)c1ccc(F)cc1,
CO[C@@H]1CCc2ccccc2[C@H]1N,GLP1.pdb,CO[C@@H]1CCc2ccccc2[C@H]1N,
COc1ccc(CC(N)c2ccc(OC)cc2)cc1,GLP1.pdb,COc1ccc(CC(N)c2ccc(OC)cc2)cc1,
Cc1nnc(O)c(CN)c1C,GLP1.pdb,Cc1nnc(O)c(CN)c1C,
CC(N)c1ccccc1[N+](=O)[O-],GLP1.pdb,CC(N)c1ccccc1[N+](=O)[O-],
CC(C)(C)OC(=O)N1CC2CC(C1)C2N,GLP1.pdb,CC(C)(C)OC(=O)N1CC2CC(C1)C2N,
C[C@@H](N)C(C)(C)C,GLP1.pdb,C[C@@H](N)C(C)(C)C,
CC1CCc2nc(C(C)N)sc2C1,GLP1.pdb,CC1CCc2nc(C(C)N)sc2C1,
CC1CCC(N)CS1(=O)=O,GLP1.pdb,CC1CCC(N)CS1(=O)=O,
NCC1CCN(c2cccnn2)CC1,GLP1.pdb,NCC1CCN(c2cccnn2)CC1,
COc1ccc(CCN)cc1OC,GLP1.pdb,COc1ccc(CCN)cc1OC,
CCON(C)C(=O)CN,GLP1.pdb,CCON(C)C(=O)CN,
CC(C)(CN)Cc1cccc(Cl)c1,GLP1.pdb,CC(C)(CN)Cc1cccc(Cl)c1,
CC(C)(C)OC(=O)N1CCC12CC(CN)C2,GLP1.pdb,CC(C)(C)OC(=O)N1CCC12CC(CN)C2,
NCc1cccc2c1CCCC2,GLP1.pdb,NCc1cccc2c1CCCC2,
COC(=O)C1(N)CC2(CCC(F)(F)CC2)C1,GLP1.pdb,COC(=O)C1(N)CC2(CCC(F)(F)CC2)C1,
CCC(N)c1ccc(OC)c(Cl)c1,GLP1.pdb,CCC(N)c1ccc(OC)c(Cl)c1,
CC(C)(C)OC(=O)N[C@@H]1CC[C@H](CCN)C1,GLP1.pdb,CC(C)(C)OC(=O)N[C@@H]1CC[C@H](CCN)C1,
NCc1ccnc(OC2CCOCC2)c1,GLP1.pdb,NCc1ccnc(OC2CCOCC2)c1,
COCC(N)COC,GLP1.pdb,COCC(N)COC,
NCC(c1ccccc1Cl)N1CCOCC1,GLP1.pdb,NCC(c1ccccc1Cl)N1CCOCC1,
CCC(C)c1ccc(CN)cc1,GLP1.pdb,CCC(C)c1ccc(CN)cc1,
CCCCC(CC)CN,GLP1.pdb,CCCCC(CC)CN,
COc1cc(CCN)cc(OC)c1,GLP1.pdb,COc1cc(CCN)cc(OC)c1,
NC1CCC(N2CCCC2=O)CC1,GLP1.pdb,NC1CCC(N2CCCC2=O)CC1,
NC1CCN(c2ccc(F)cc2F)C1,GLP1.pdb,NC1CCN(c2ccc(F)cc2F)C1,
NCC1CC(c2ccc3c(c2)CCO3)=NO1,GLP1.pdb,NCC1CC(c2ccc3c(c2)CCO3)=NO1,
NCc1ccn(-c2ccc(Br)cc2)n1,GLP1.pdb,NCc1ccn(-c2ccc(Br)cc2)n1,
N[C@H]1CCc2c(Br)cccc21,GLP1.pdb,N[C@H]1CCc2c(Br)cccc21,
NCC1(Cc2ccccc2)CCCC1,GLP1.pdb,NCC1(Cc2ccccc2)CCCC1,
CCCOc1ccccc1Oc1ncccc1CN,GLP1.pdb,CCCOc1ccccc1Oc1ncccc1CN,
NCCC1COc2ccccc2O1,GLP1.pdb,NCCC1COc2ccccc2O1,
CC(N)C(C)(C)NC(=O)OC(C)(C)C,GLP1.pdb,CC(N)C(C)(C)NC(=O)OC(C)(C)C,
