complex_name,protein_path,ligand_description,protein_sequence
CN(C)CCCNS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,GLP1.pdb,CN(C)CCCNS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,
CCSc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1,GLP1.pdb,CCSc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1,
Cc1ccccc1COc1ccccc1C(=O)O,GLP1.pdb,Cc1ccccc1COc1ccccc1C(=O)O,
Cc1ccccc1-n1c(S)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,Cc1ccccc1-n1c(S)nnc1-c1ccc(Cl)cc1Cl,
CCc1c(C)sc2nc(S)n(-c3ccc(C)c(C)c3)c(=O)c12,GLP1.pdb,CCc1c(C)sc2nc(S)n(-c3ccc(C)c(C)c3)c(=O)c12,
CC(C)Cn1c(S)nnc1-c1ccco1,GLP1.pdb,CC(C)Cn1c(S)nnc1-c1ccco1,
Cc1ccc2sc(NCc3ccccc3)nc2c1C,GLP1.pdb,Cc1ccc2sc(NCc3ccccc3)nc2c1C,
Cc1sc2nc(CSC(C)C(=O)O)[nH]c(=O)c2c1C,GLP1.pdb,Cc1sc2nc(CSC(C)C(=O)O)[nH]c(=O)c2c1C,
CON=Cc1ccc(C(=O)O)cc1,GLP1.pdb,CON=Cc1ccc(C(=O)O)cc1,
COc1ccc(-n2c(C)nnc2SCC(=O)O)cc1,GLP1.pdb,COc1ccc(-n2c(C)nnc2SCC(=O)O)cc1,
CCOc1ccc2nc(NCc3ccccc3)sc2c1,GLP1.pdb,CCOc1ccc2nc(NCc3ccccc3)sc2c1,
COCCn1c(S)nc2sc3c(c2c1=O)CCC3,GLP1.pdb,COCCn1c(S)nc2sc3c(c2c1=O)CCC3,
Clc1nc(-c2ccccc2)nc2ccccc12,GLP1.pdb,Clc1nc(-c2ccccc2)nc2ccccc12,
Cc1cc(N)nc(S)n1,GLP1.pdb,Cc1cc(N)nc(S)n1,
NNC(=O)Cc1ccc(F)cc1,GLP1.pdb,NNC(=O)Cc1ccc(F)cc1,
Cc1cc(C)c(S(=O)(=O)N(CCc2ccccc2)CC(=O)O)c(C)c1,GLP1.pdb,Cc1cc(C)c(S(=O)(=O)N(CCc2ccccc2)CC(=O)O)c(C)c1,
CN(Cc1ccccc1)S(=O)(=O)c1ccc(N)cc1,GLP1.pdb,CN(Cc1ccccc1)S(=O)(=O)c1ccc(N)cc1,
Cc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1C,GLP1.pdb,Cc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1C,
Cc1cc(C)c(S(=O)(=O)N2CCC(C(=O)O)CC2)c(C)c1,GLP1.pdb,Cc1cc(C)c(S(=O)(=O)N2CCC(C(=O)O)CC2)c(C)c1,
Cc1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1,GLP1.pdb,Cc1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1,
Cc1ccc(-n2c(S)nnc2-c2ccncc2)cc1C,GLP1.pdb,Cc1ccc(-n2c(S)nnc2-c2ccncc2)cc1C,
CCn1c(S)nnc1Cc1ccccc1,GLP1.pdb,CCn1c(S)nnc1Cc1ccccc1,
CCCn1c(S)nnc1Cc1ccccc1,GLP1.pdb,CCCn1c(S)nnc1Cc1ccccc1,
Sc1nnc(Cc2ccccc2)n1-c1ccc(Cl)cc1,GLP1.pdb,Sc1nnc(Cc2ccccc2)n1-c1ccc(Cl)cc1,
Fc1ccc(-n2c(S)nnc2-c2ccncc2)cc1,GLP1.pdb,Fc1ccc(-n2c(S)nnc2-c2ccncc2)cc1,
Cc1sc2nc(S)n(-c3ccc(Cl)cc3)c(=O)c2c1C,GLP1.pdb,Cc1sc2nc(S)n(-c3ccc(Cl)cc3)c(=O)c2c1C,
CCCn1c(S)nnc1-c1ccncc1,GLP1.pdb,CCCn1c(S)nnc1-c1ccncc1,
Cc1cccc(-n2c(C)nnc2S)c1,GLP1.pdb,Cc1cccc(-n2c(C)nnc2S)c1,
Cn1c(S)nnc1Cc1ccccc1,GLP1.pdb,Cn1c(S)nnc1Cc1ccccc1,
Sc1nnc(-c2ccncc2)[nH]1,GLP1.pdb,Sc1nnc(-c2ccncc2)[nH]1,
CCn1c(S)nnc1-c1cccc(Cl)c1,GLP1.pdb,CCn1c(S)nnc1-c1cccc(Cl)c1,
Cc1ccc(S(=O)(=O)N2CCC(C(=O)NN)CC2)cc1,GLP1.pdb,Cc1ccc(S(=O)(=O)N2CCC(C(=O)NN)CC2)cc1,
NNC(=O)Cc1ccc(Cl)cc1,GLP1.pdb,NNC(=O)Cc1ccc(Cl)cc1,
COc1ccc(N2CCN(C(=O)CCl)CC2)cc1,GLP1.pdb,COc1ccc(N2CCN(C(=O)CCl)CC2)cc1,
SC(c1ccccc1)c1ccccc1,GLP1.pdb,SC(c1ccccc1)c1ccccc1,
CS(=O)(=O)c1ccccc1C(=O)O,GLP1.pdb,CS(=O)(=O)c1ccccc1C(=O)O,
COc1cc(C(=O)CBr)ccc1OC(F)F,GLP1.pdb,COc1cc(C(=O)CBr)ccc1OC(F)F,
CC(C)NS(=O)(=O)c1ccc(NC(=O)C(C)Cl)cc1,GLP1.pdb,CC(C)NS(=O)(=O)c1ccc(NC(=O)C(C)Cl)cc1,
Sc1nnc(-c2ccc(Cl)cc2Cl)n1-c1ccccc1,GLP1.pdb,Sc1nnc(-c2ccc(Cl)cc2Cl)n1-c1ccccc1,
Sc1nnc(-c2ccc(Cl)cc2Cl)n1Cc1ccccc1,GLP1.pdb,Sc1nnc(-c2ccc(Cl)cc2Cl)n1Cc1ccccc1,
O=C(O)CSc1nnc(-c2ccc(Cl)cc2Cl)n1Cc1ccccc1,GLP1.pdb,O=C(O)CSc1nnc(-c2ccc(Cl)cc2Cl)n1Cc1ccccc1,
CCNc1nc2cc(Cl)ccc2s1,GLP1.pdb,CCNc1nc2cc(Cl)ccc2s1,
Cc1ccc(C)c(-n2c(C)nnc2SCC(=O)O)c1,GLP1.pdb,Cc1ccc(C)c(-n2c(C)nnc2SCC(=O)O)c1,
C=CCn1c(S)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,C=CCn1c(S)nnc1-c1ccc(Cl)cc1Cl,
CC(C)n1c(S)nnc1-c1ccc(Cl)cc1Cl,GLP1.pdb,CC(C)n1c(S)nnc1-c1ccc(Cl)cc1Cl,
NNC(=S)NC1CCCC1,GLP1.pdb,NNC(=S)NC1CCCC1,
CCCCCCNC(N)=S,GLP1.pdb,CCCCCCNC(N)=S,
