ligand_description,complex_name,protein_path,protein_sequence
CCN(CC)C(=O)c1sc2c(c1C)c(=O)n(-c1ccc(C)c(C)c1)c(=O)n2Cc1cccc(Cl)c1,CHEMBL1440478,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc2nc(NCCCN3CCOCC3)c(/C=N/CCCN3CCOCC3)c(=O)n2c1,CHEMBL3193352,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)C1CCN(C(=O)c2cc3c(ccc4ccccc43)o2)CC1,CHEMBL1383436,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1nc2c(=O)oc3ccccc3c2n1-c1ccccc1,CHEMBL1426078,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cc(O)nc(SCC(=O)OCc2ccccc2)c1C#N,CHEMBL1419191,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COC(=O)c1c(C)[nH]c(/C=N/Nc2ccccc2)c1C,CHEMBL1970537,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCS(=O)(=O)N1Cc2ccccc2CC1C(=O)Nc1cc(S(C)(=O)=O)ccc1Cl,CHEMBL1575520,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COC(=O)CSc1nc2sc(C)c(C)c2c(=O)n1C,CHEMBL1569930,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(=O)c1ccc(NC(=S)N2CCCC2)cc1,CHEMBL1543522,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1nnc2sc(-c3cccc(NC(=O)c4cccnc4)c3)nn12,CHEMBL1371627,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(NC(=O)CSc2[nH]cnc3nncc2-3)cc1,CHEMBL1330077,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1nnc(SCC(=O)Nc2nccs2)n1N,CHEMBL1719311,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=[N+]([O-])c1cnc(Nc2ccc(Cl)cn2)c([N+](=O)[O-])c1,CHEMBL1501549,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(-c2ccc3c(c2)O[C@H](CN(C)Cc2cncnc2)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)cc1,CHEMBL2131429,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
N=C(NOC(=O)c1ccco1)c1ccc(Br)cc1,CHEMBL1430240,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(/C=N/NC(=O)c2ccc(=O)n(C)c2)cc1OC,CHEMBL3192620,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOc1cc(CNCCSc2nnnn2C)cc(Br)c1OCc1ccccc1.Cl,CHEMBL1438785,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(-c2nc3c(cnn3-c3ccccc3)c(=O)n2-c2cccc(Cl)c2)cc1,CHEMBL1611761,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1cccc(F)c1)c1coc(=O)c(Br)c1,CHEMBL1563559,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)c1nn(-c2ccc(F)cc2)cc1O,CHEMBL1537402,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CN(C)c1nc(N)c2ncc(S)nc2n1,CHEMBL1504800,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(O)c1cccc(Nc2ncnc3scc(-c4ccccc4)c23)c1,CHEMBL1719248,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1nnc2c(NCCc3ccccc3)nc3ccccc3n12,CHEMBL1729610,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)N1CCC(N=C(S)Nc2ccc3nc(N4CCN(CC)CC4)cc(C)c3c2)CC1,CHEMBL1382709,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cccc(C(=O)/N=c2\sc3cc(S(C)(=O)=O)ccc3n2C)c1,CHEMBL3211378,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C2C(C(=O)Nc3cccnc3)=C(C)Nc3nc(-c4ccc(OC)c(OC)c4)nn32)cc1,CHEMBL1477564,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(c1ccccc1)c1nn(-c2ccc(Cl)cc2)c(=O)cc1C(F)(F)F,CHEMBL1306816,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cc(CNc2ccc3[nH]c(O)nc3c2)cc(Br)c1OCC(=O)NC(C)(C)C,CHEMBL1516967,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCc1ccccc1Nc1ncnc2c1cnn2-c1ccc(C)cc1C,CHEMBL1898167,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1ccc([N+](=O)[O-])cc1)C(c1ccccc1)c1ccccc1,CHEMBL1903015,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)NCC3CCCO3)cc2)cc1OC,CHEMBL1707890,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C(=O)NCc2nnc(SCC(=O)c3ccccc3)n2C)cc1,CHEMBL1383726,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CNc1nc(C)c(C(C)(C)C)s1,CHEMBL1431121,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccccc1NC(=O)CN1CCN(Cc2ccccc2)CC1,CHEMBL1338856,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1nnc(Cc2ccccc2)s1)c1ccccc1,CHEMBL1382789,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(-n2nc3c(=O)n(C(C)C(=O)NCCCc4ccccc4)nc(C)c3c2C)cc1,CHEMBL1711093,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC1(C)NC(=O)[C@H]2CCCN21,CHEMBL1864311,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(NCCOc1nc(N2CCOCC2)nc(N2CCOCC2)n1)Nc1ccccc1,CHEMBL1508885,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(NC(=O)Cn1nc(C(=O)O)c2ccccc2c1=O)C12CC3CC(CC(C3)C1)C2,CHEMBL1430363,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
C/C(=N\Nc1ccc(C#N)cc1[N+](=O)[O-])c1ccc(C)o1,CHEMBL3212053,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COC(=O)c1ccc(/C=N/OCC(=O)NC2CCCCCCC2)cc1,CHEMBL3212062,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(-c2noc(-c3cc(C)cc(C)c3)n2)cc1OC,CHEMBL1586748,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,CHEMBL1622,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-],CHEMBL284328,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCN=C(S)NNC(=O)Cn1nc(C)cc1C,CHEMBL1309764,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCCn1cnc2c(SCc3ccccc3F)nc(N)nc21,CHEMBL1885688,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Fc1ccccc1N1CCN(c2cnc3ccccc3n2)CC1,CHEMBL1458023,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1nnc(-c2ccc(Cl)cc2)o1)Nc1ccccc1F,CHEMBL1383234,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
C=CCC[C@H](Cc1ccc(F)cc1)C(=O)OC[C@@H](NC(=O)[C@@H](CC=C)CC(=O)N[C@H](CO)Cc1ccccc1)C(C)(C)C,CHEMBL1722871,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC1CCN(c2nc3ccc(C(=O)NC(C)C)cc3s2)CC1,CHEMBL1611713,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cc(/C=C2\SC(=S)NC2=O)c(C)n1-c1ccc(O)cc1,CHEMBL1594984,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(=O)c1c(C)[nH]c(C(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2C)c1C,CHEMBL1482783,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1ccc(F)c(F)c1)c1cc(S(=O)(=O)NC2CCCC2)ccc1F,CHEMBL1730444,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cn1ccnc1Sc1nc(Nc2cccc(Cl)c2)nc(N2CCOCC2)n1,CHEMBL1561254,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cl.Nc1ccc2[nH]c(C3CCCCC3)nc2c1,CHEMBL1438870,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C1CS/C(=N\c2ccc(Cl)cc2)N1Cc1ccco1,CHEMBL3199456,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(C)CN(C(=O)c1ccc(=O)n(C)n1)c1nc2ccccc2s1,CHEMBL1602747,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)c1cc(-c2ccc(F)cc2)n(CCC(=O)NC2CCN(Cc3ccccc3)CC2)c1C,CHEMBL1341209,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
